    time    temp    dens
   9.73762209969441E-01   6.05903712599776E-02   8.60203188160945E-01
     nin     zin       y       x
 16   14     2.45502991916474E-06   7.36508975749422E-05
 17   14     4.10385697659667E-09   1.27219566274497E-07
 18   14     7.44658329250748E-11   2.38290665360239E-09
 19   14     4.93105629891483E-14   1.62724857864189E-12
 20   14     3.04938700145728E-14   1.03679158049547E-12
 21   14     4.55878827911734E-18   1.59557589769107E-16
 22   14     2.77349639291721E-20   9.98458701450197E-19
 23   14     1.35616776909370E-22   5.01782074564668E-21
 24   14     3.51756577790502E-24   1.33667499560391E-22
 25   14     1.96374942460446E-27   7.65862275595740E-26
 26   14     2.89408649625483E-29   1.15763459850193E-27
 27   14     1.48341857413503E-32   6.08201615395364E-31
 28   14     4.08696088634010E-36   1.71652357226284E-34
 29   14     1.23960207162766E-40   5.33028890799896E-39
 30   14     5.89062811439576E-46   2.59187637033413E-44
 31   14     3.01869602254427E-66   1.35841321014492E-64
 32   14     1.37008957757448E-73   6.30241205684259E-72
 33   14     3.78928567841050E-97   1.78096426885294E-95
 34   14     1.00631780628959E-95   4.83032547019003E-94
 35   14     3.63894660644417E-94   1.78308383715764E-92
 36   14     1.33711463865300E-97   6.68557319326502E-96
 37   14     1.00000000000000E-99   1.00000000000000E-99
 38   14     1.00000000000000E-99   1.00000000000000E-99
 39   14     1.00000000000000E-99   1.00000000000000E-99
 40   14     1.00000000000000E-99   1.00000000000000E-99
  8   15     1.21897209608527E-21   2.80363582099612E-20
  9   15     8.59402424894730E-21   2.06256581974735E-19
 10   15     2.80580126614364E-22   7.01450316535911E-21
 11   15     9.79589563864198E-17   2.54693286604692E-15
 12   15     1.96535851883840E-08   5.30646800086368E-07
 13   15     2.09749690961566E-08   5.87299134692385E-07
 14   15     1.20194639192010E-06   3.48564453656830E-05
 15   15     1.34751267569727E-06   4.04253802709180E-05
 16   15     2.74516446848196E-06   8.51000985229408E-05
 17   15     2.23513000483302E-09   7.15241601546567E-08
 18   15     1.44167660086608E-08   4.75753278285807E-07
 19   15     3.52888753700338E-12   1.19982176258115E-10
 20   15     1.15382521520247E-12   4.03838825320866E-11
 21   15     6.17973697855360E-16   2.22470531227930E-14
 22   15     3.61632300915690E-17   1.33803951338805E-15
 23   15     2.11997127481102E-19   8.05589084428187E-18
 24   15     2.35277258857056E-21   9.17581309542520E-20
 25   15     1.08795157192604E-23   4.35180628770418E-22
 26   15     4.82726050073885E-26   1.97917680530293E-24
 27   15     3.18515180536092E-29   1.33776375825158E-27
 28   15     5.08317504909885E-32   2.18576527111251E-30
 29   15     6.02984744561102E-35   2.65313287606885E-33
 30   15     3.80570714077441E-38   1.71256821334849E-36
 31   15     2.66884967047333E-42   1.22767084841773E-40
 32   15     2.15936809324607E-48   1.01490300382565E-46
 33   15     2.21576670624939E-75   1.06356801899971E-73
 34   15     3.18968778359001E-89   1.56294701395911E-87
 35   15     1.81255137669851E-83   9.06275688349253E-82
 36   15     1.29939430459356E-88   6.62691095342717E-87
 37   15     2.00979387109658E-89   1.04509281297022E-87
 38   15     3.98392898731098E-82   2.11148236327482E-80
 39   15     4.80249238920287E-80   2.59334589016955E-78
 40   15     1.00000000000000E-99   1.00000000000000E-99
 41   15     1.00000000000000E-99   1.00000000000000E-99
 42   15     1.00000000000000E-99   1.00000000000000E-99
  8   16     4.19564360040314E-30   1.00695446409675E-28
  9   16     2.35840083484548E-24   5.89600208711370E-23
 10   16     1.96727859186624E-20   5.11492433885222E-19
 11   16     5.26574197998780E-19   1.42175033459671E-17
 12   16     2.51870276960477E-14   7.05236775489336E-13
 13   16     2.23301000799046E-09   6.47572902317234E-08
 14   16     2.26175630985119E-07   6.78526892955357E-06
 15   16     6.24106300507299E-07   1.93472953157263E-05
 16   16     3.06507950741225E-06   9.80825442371920E-05
 17   16     2.24275522278171E-06   7.40109223517963E-05
 18   16     2.56265913205083E-06   8.71304104897283E-05
 19   16     1.85202934257553E-09   6.48210269901436E-08
 20   16     6.58703051154999E-10   2.37133098415800E-08
 21   16     1.60523912438895E-13   5.93938476023912E-12
 22   16     4.53733591865640E-14   1.72418764908943E-12
 23   16     4.86281133523545E-15   1.89649642074182E-13
 24   16     1.67157222960893E-16   6.68628891843573E-15
 25   16     1.01211657237306E-17   4.14967794672954E-16
 26   16     2.51998682226639E-19   1.05839446535188E-17
 27   16     1.81955616855251E-24   7.82409152477579E-23
 28   16     8.29549192634436E-25   3.65001644759152E-23
 29   16     8.55002691698671E-30   3.84751211264402E-28
 30   16     1.72922853800740E-33   7.95445127483402E-32
 31   16     1.08213236507345E-38   5.08602211584520E-37
 32   16     3.93088161603652E-41   1.88682317569753E-39
 33   16     2.00783012012899E-51   9.83836758863204E-50
 34   16     4.85971862650631E-60   2.42985931325315E-58
 35   16     1.66443321284090E-81   8.48860938548861E-80
 36   16     1.35158048012019E-79   7.02821849662497E-78
 37   16     1.06455907355835E-79   5.64216308985926E-78
