    time    temp    dens
   7.86436642328121E-01   7.52343239094522E-02   1.63293378978690E+00
     nin     zin       y       x
 31   17     9.53635705323589E-33   4.57745138555323E-31
 32   17     5.01893901555501E-36   2.45928011762196E-34
 33   17     3.30787618052742E-40   1.65393809026371E-38
 34   17     7.56957068157972E-44   3.86048104760566E-42
 35   17     1.43237412419337E-55   7.44834544580553E-54
 36   17     1.79780554244801E-64   9.52836937497444E-63
 37   17     1.34404152729125E-79   7.25782424737273E-78
 38   17     1.44920422525188E-80   7.97062323888534E-79
 39   17     9.06618959300454E-77   5.07706617208254E-75
 40   17     4.36098939164723E-89   2.48576395323892E-87
 41   17     1.00000000000000E-99   1.00000000000000E-99
 42   17     1.00000000000000E-99   1.00000000000000E-99
 43   17     1.00000000000000E-99   1.00000000000000E-99
 44   17     1.00000000000000E-99   1.00000000000000E-99
 45   17     1.00000000000000E-99   1.00000000000000E-99
 46   17     1.00000000000000E-99   1.00000000000000E-99
  9   18     1.00000000000000E-99   1.00000000000000E-99
 10   18     6.14636040725156E-33   1.72098091403044E-31
 11   18     1.93772629853514E-24   5.61940626575190E-23
 12   18     9.82667229430844E-20   2.94800168829253E-18
 13   18     4.52318088756558E-19   1.40218607514533E-17
 14   18     2.06159574894485E-16   6.59710639662351E-15
 15   18     4.60902900737164E-09   1.52097957243264E-07
 16   18     3.75200052670327E-07   1.27568017907911E-05
 17   18     2.49599876731121E-07   8.73599568558922E-06
 18   18     2.10564790999633E-06   7.58033247598678E-05
 19   18     1.32366157097101E-06   4.89754781259273E-05
 20   18     1.85065822626946E-06   7.03250125982393E-05
 21   18     2.94978396466876E-09   1.15041574622082E-07
 22   18     1.74382815255946E-10   6.97531261023784E-09
 23   18     1.79025248589975E-11   7.34003519218899E-10
 24   18     2.43893139736838E-12   1.02435118689472E-10
 25   18     5.99936535924742E-14   2.57972710447639E-12
 26   18     8.26303631916644E-15   3.63573598043323E-13
 27   18     5.37895905790619E-17   2.42053157605778E-15
 28   18     1.62218696781058E-19   7.46206005192869E-18
 29   18     4.45661688902505E-23   2.09460993784177E-21
 30   18     8.11847876921332E-24   3.89686980922239E-22
 31   18     1.18428550859209E-27   5.80299899210124E-26
 32   18     1.63347804832502E-30   8.16739024162510E-29
 33   18     3.04515407395744E-35   1.55302857771830E-33
 34   18     9.00013009273346E-39   4.68006764822140E-37
 35   18     1.81046703011402E-42   9.59547525960428E-41
 36   18     2.62967264931161E-48   1.42002323062827E-46
 37   18     1.99967213131218E-59   1.09981967222170E-57
 38   18     2.29872305937141E-67   1.28728491324799E-65
 39   18     5.18996337154776E-76   2.95827912178222E-74
 40   18     3.23526623999233E-86   1.87645441919555E-84
 41   18     1.00000000000000E-99   1.00000000000000E-99
 42   18     1.00000000000000E-99   1.00000000000000E-99
 43   18     1.00000000000000E-99   1.00000000000000E-99
 44   18     1.00000000000000E-99   1.00000000000000E-99
 45   18     1.00000000000000E-99   1.00000000000000E-99
 46   18     1.00000000000000E-99   1.00000000000000E-99
 47   18     1.00000000000000E-99   1.00000000000000E-99
 48   18     1.00000000000000E-99   1.00000000000000E-99
 49   18     1.00000000000000E-99   1.00000000000000E-99
 10   19     1.00000000000000E-99   1.00000000000000E-99
 11   19     2.93185963827733E-42   8.79557891483198E-41
 12   19     1.13212235813706E-33   3.50957931022488E-32
 13   19     7.18820182615466E-27   2.30022458436949E-25
 14   19     6.44974234760439E-24   2.12841497470945E-22
 15   19     7.06668032578681E-22   2.40267131076751E-20
 16   19     3.89884700621761E-14   1.36459645217616E-12
 17   19     2.99337541978762E-09   1.07761515112354E-07
 18   19     2.24080482990438E-07   8.29097787064622E-06
 19   19     5.41219986718111E-07   2.05663594952882E-05
 20   19     3.74947760847423E-06   1.46229626730495E-04
 21   19     3.25722428319718E-08   1.30288971327887E-06
 22   19     1.00510690722758E-08   4.12093831963308E-07
 23   19     3.30291000056630E-10   1.38722220023785E-08
 24   19     8.35455369497558E-11   3.59245808883950E-09
 25   19     5.41160155290151E-12   2.38110468327666E-10
 26   19     3.47006415619077E-13   1.56152887028585E-11
 27   19     4.44106207330085E-15   2.04288855371839E-13
 28   19     7.69996779766366E-17   3.61898486490192E-15
 29   19     1.09345001192420E-18   5.24856005723615E-17
 30   19     2.80168815962937E-21   1.37282719821839E-19
 31   19     4.17126686300182E-24   2.08563343150091E-22
 32   19     5.83381429417389E-27   2.97524529002869E-25
 33   19     7.23213828124926E-31   3.76071190624961E-29
 34   19     1.28146818731458E-34   6.79178139276730E-33
 35   19     3.14854005454621E-39   1.70021162945496E-37
 36   19     2.62468841671703E-44   1.44357862919437E-42
 37   19     2.62907643929533E-52   1.47228280600538E-50
 38   19     4.78896248260973E-59   2.72970861508755E-57
 39   19     2.89428871463103E-69   1.67868745448600E-67
 40   19     8.78737584855558E-77   5.18455175064779E-75
 41   19     8.64067159564053E-91   5.18440295738432E-89
 42   19     3.70551511183704E-98   2.26036421822059E-96
 43   19     1.00000000000000E-99   1.00000000000000E-99
 44   19     1.00000000000000E-99   1.00000000000000E-99
 45   19     1.00000000000000E-99   1.00000000000000E-99
 46   19     1.00000000000000E-99   1.00000000000000E-99
 47   19     1.00000000000000E-99   1.00000000000000E-99
 48   19     1.00000000000000E-99   1.00000000000000E-99
 49   19     1.00000000000000E-99   1.00000000000000E-99
 50   19     1.00000000000000E-99   1.00000000000000E-99
 51   19     1.00000000000000E-99   1.00000000000000E-99
 10   20     1.00000000000000E-99   1.00000000000000E-99
 11   20     1.00000000000000E-99   1.00000000000000E-99
 12   20     4.40034970937664E-36   1.40811190700052E-34
 13   20     1.45075499600592E-29   4.78749148681953E-28
 14   20     2.41424601168626E-21   8.20843643973327E-20
 15   20     7.60864990943711E-20   2.66302746830299E-18
 16   20     1.22071980582185E-15   4.39459130095866E-14
 17   20     1.91916142927740E-10   7.10089728832639E-09
 18   20     4.54712907327551E-08   1.72790904784469E-06
 19   20     9.63102232832002E-08   3.75609870804481E-06
 20   20     2.16992592226703E-05   8.67970368906813E-04
 21   20     1.23881701003889E-06   5.07914974115946E-05
 22   20     1.79218836481560E-06   7.52719113222553E-05
 23   20     1.39044562790352E-06   5.97891619998514E-05
 24   20     1.90993919724361E-07   8.40373246787190E-06
 25   20     9.12573832482866E-10   4.10658224617290E-08
 26   20     9.83877606740000E-08   4.52583699100400E-06
 27   20     1.83200834963504E-12   8.61043924328469E-11
 28   20     2.62589951250930E-11   1.26043176600446E-09
 29   20     2.33310752737026E-15   1.14322268841143E-13
 30   20     2.51077409465090E-18   1.25538704732545E-16
 31   20     2.31797994927681E-21   1.18216977413117E-19
 32   20     5.41900383998571E-23   2.81788199679257E-21
 33   20     1.75081929844212E-26   9.27934228174323E-25
 34   20     9.74906655043710E-29   5.26449593723604E-27
 35   20     5.18920064722042E-33   2.85406035597123E-31
 36   20     9.77595176676642E-36   5.47453298938920E-34
 37   20     1.98995244355364E-42   1.13427289282557E-40
 38   20     6.79963349802517E-49   3.94378742885460E-47
 39   20     1.78390934116420E-58   1.05250651128688E-56
 40   20     6.31090513697999E-66   3.78654308218800E-64
 41   20     2.35646837121736E-77   1.43744570644259E-75
 42   20     4.24394939969613E-87   2.63124862781160E-85
 43   20     1.00000000000000E-99   1.00000000000000E-99
 44   20     1.00000000000000E-99   1.00000000000000E-99
