    time    temp    dens
   9.96826643036671E-01   5.90636120690575E-02   8.01864312060387E-01
     nin     zin       y       x
 36   15     1.64263197065716E-87   8.37742305035150E-86
 37   15     2.55355847726108E-88   1.32785040817576E-86
 38   15     1.17449588054992E-80   6.22482816691457E-79
 39   15     9.46450379204624E-79   5.11083204770497E-77
 40   15     1.00000000000000E-99   1.00000000000000E-99
 41   15     1.00000000000000E-99   1.00000000000000E-99
 42   15     1.00000000000000E-99   1.00000000000000E-99
  8   16     2.85102978894901E-31   6.84247149347762E-30
  9   16     3.00324079176728E-26   7.50810197941820E-25
 10   16     7.25315272067942E-22   1.88581970737665E-20
 11   16     4.25145396576020E-20   1.14789257075525E-18
 12   16     1.06369608288467E-15   2.97834903207707E-14
 13   16     1.94546163397249E-11   5.64183873852023E-10
 14   16     5.58589635669876E-09   1.67576890700963E-07
 15   16     4.20604771025065E-08   1.30387479017770E-06
 16   16     2.17877899914009E-06   6.97209279724828E-05
 17   16     1.19864473312101E-06   3.95552761929933E-05
 18   16     2.38955350709224E-06   8.12448192411362E-05
 19   16     2.54892918698455E-09   8.92125215444593E-08
 20   16     2.35561264585968E-08   8.48020552509484E-07
 21   16     2.65681184840503E-13   9.83020383909860E-12
 22   16     1.11242845839348E-14   4.22722814189524E-13
 23   16     2.09672792848026E-15   8.17723892107303E-14
 24   16     2.75762153508447E-16   1.10304861403379E-14
 25   16     4.55266218486624E-18   1.86659149579516E-16
 26   16     2.03688994992036E-19   8.55493778966551E-18
 27   16     5.52828016029156E-24   2.37716046892537E-22
 28   16     2.87449016601284E-24   1.26477567304565E-22
 29   16     5.91322131530637E-29   2.66094959188787E-27
 30   16     2.29298947183659E-32   1.05477515704483E-30
 31   16     2.13092955880438E-37   1.00153689263806E-35
 32   16     6.22238579512005E-41   2.98674518165763E-39
 33   16     5.41778472882419E-51   2.65471451712385E-49
 34   16     2.56123062418133E-59   1.28061531209066E-57
 35   16     4.89762343575503E-80   2.49778795223506E-78
 36   16     2.66048390294888E-78   1.38345162953342E-76
 37   16     1.24818283407821E-78   6.61536902061449E-77
 38   16     5.48301548627339E-87   2.96082836258763E-85
 39   16     2.28430041094050E-77   1.25636522601727E-75
 40   16     1.00000000000000E-99   1.00000000000000E-99
 41   16     1.00000000000000E-99   1.00000000000000E-99
 42   16     1.00000000000000E-99   1.00000000000000E-99
