# 1:iteration 2:time[s], 3:T[GK], 4:rho[g/cm3], 5:Ye 
# 6:R[km], 7:Y_n, 8:Y_p, 9:Y_alpha, 10:Y_lights 
# 11:Y_heavies 12:<Z> 13:<A> 14:entropy [kB/baryon] (15:Sn [MeV])
     110  9.9747284841986680E-02   8.9876672123814814E+00   2.7929074700263753E+06   8.9772105061441454E-01   3.5454678402375201E+01   7.0489057924055520E-02   8.6593103305041708E-01   1.5882813519209955E-02   2.4229208330558948E-05   1.8297826938445452E-11   9.4266037249975765E-01   1.0500593384265475E+00   9.8494652275423320E+01
     120  9.9947482247369795E-02   8.8925797413844165E+00   2.7028664943423565E+06   8.9745559112869533E-01   3.5801135172380185E+01   6.5040584109705576E-02   8.5995164083112452E-01   1.8740636043630871E-02   2.2520296265183520E-05   2.0429586792253555E-11   9.5094089942181115E-01   1.0595966071433676E+00   9.8432255841871751E+01
     130  1.0009486117214672E-01   8.8231305709403181E+00   2.6383874849684625E+06   8.9725246307159057E-01   3.6059147498635660E+01   6.0872112616616535E-02   8.5537691437075702E-01   2.0927101750948321E-02   2.1190775039732498E-05   2.1842720865931942E-11   9.5737839232892397E-01   1.0670111609964299E+00   9.8376889191858723E+01
     140  1.0017841480597182E-01   8.7839650942523058E+00   2.6024984421553374E+06   8.9713425561211180E-01   3.6206546959983221E+01   5.8475526668273617E-02   8.5274391442265829E-01   2.2184884838778417E-02   2.0419400707775831E-05   2.2577577505602955E-11   9.6112114027236339E-01   1.0713236444378038E+00   9.8345730803665560E+01
     150  1.0024026611968709E-01   8.7550691028709764E+00   2.5762372964880606E+06   8.9704538860108696E-01   3.6316187640928142E+01   5.6694084079131908E-02   8.5078473861358306E-01   2.3120328306839532E-02   1.9843116653787497E-05   2.3090056851036315E-11   9.6392336095690534E-01   1.0745536103363873E+00   9.8322400478384239E+01
     160  1.0030149869259063E-01   8.7265432940431342E+00   2.5504928895716192E+06   8.9695628946320261E-01   3.6425174146060300E+01   5.4929072816166054E-02   8.4884152996800111E-01   2.4047670641901796E-02   1.9269899990463795E-05   2.3571417716077331E-11   9.6671696019656395E-01   1.0777748832946039E+00   9.8299083747466895E+01
     170  1.0037822491730168E-01   8.6909132836449707E+00   2.5185874982649782E+06   8.9684317194205476E-01   3.6562361386815006E+01   5.2721733660524600E-02   8.4640795702373328E-01   2.5208259543938540E-02   1.8550099831448674E-05   2.4139400187325034E-11   9.7023515451059172E-01   1.0818336860497151E+00   9.8269048423914768E+01
     180  1.0044799693791716E-01   8.6586223146858963E+00   2.4899113772853483E+06   8.9673886883969900E-01   3.6687719249387719E+01   5.0724653934728497E-02   8.4420227235792766E-01   2.6259278493740219E-02   1.7896235767344012E-05   2.4624026088972738E-11   9.7344211540169179E-01   1.0855357665729817E+00   9.8242087850045522E+01
     190  1.0051818163432812E-01   8.6262456698828505E+00   2.4613864823397473E+06   8.9663260344238249E-01   3.6814402964849585E+01   4.8731326848446541E-02   8.4199641586320872E-01   2.7309402830991612E-02   1.7241253011101958E-05   2.5083625762734752E-11   9.7666610640297302E-01   1.0892600856285204E+00   9.8214315848030253E+01
     200  1.0058180657147862E-01   8.5969862456920350E+00   2.4358028907645233E+06   8.9653514559796144E-01   3.6929753691749802E+01   4.6942208982085454E-02   8.4001238365837205E-01   2.8252986123604249E-02   1.6651463054375934E-05   2.5478808421431819E-11   9.7957977505744620E-01   1.0926284149229830E+00   9.8188319717727353E+01
     210  1.0063218336081688E-01   8.5738812463960770E+00   2.4157307663192740E+06   8.9645722870127575E-01   3.7021428246564483E+01   4.5540271842187952E-02   8.3845461385420439E-01   2.8993145253778857E-02   1.6188087755557773E-05   2.5779120244108359E-11   9.8187632650876555E-01   1.0952851904950771E+00   9.8168922348383390E+01
     220  1.0069773908489298E-01   8.5438956578715288E+00   2.3898519397098548E+06   8.9635491812121426E-01   3.7141181684122571E+01   4.3738275725783753E-02   8.3644799812188497E-01   2.9945597716781326E-02   1.5590945422152235E-05   2.6155937648933841E-11   9.8484581347248701E-01   1.0987230544087960E+00   9.8144586707144938E+01
     230  1.0078083399833296E-01   8.5060192813495377E+00   2.3574374013904319E+06   8.9622381041630539E-01   3.7293719972171999E+01   4.1495533109411543E-02   8.3394304216652304E-01   3.1132896336303697E-02   1.4845372697540826E-05   2.6616059391692241E-11   9.8856975182528117E-01   1.1030389288207825E+00   9.8112206914007160E+01
     240  1.0087828499483564E-01   8.4617880371939691E+00   2.3199699421415557E+06   8.9606812447955375E-01   3.7473672659098824E+01   3.8932304992695441E-02   8.3106844475148822E-01   3.2492781784065623E-02   1.3990052465361763E-05   2.7140459738558220E-11   9.9286499339437151E-01   1.1080240065129405E+00   9.8075015188639611E+01
     250  1.0101307221497309E-01   8.4009450841569731E+00   2.2691050538947838E+06   8.9584972002364394E-01   3.7724473202718983E+01   3.5521604342929169E-02   8.2722093897782101E-01   3.4307907072855005E-02   1.2846571128126817E-05   2.7861836197319758E-11   9.9864716684650912E-01   1.1147485393199112E+00   9.8025701125569142E+01
     260  1.0109417948454454E-01   8.3645200960544397E+00   2.2390246451964774E+06   8.9571660939329378E-01   3.7876460486766334E+01   3.3551630429544947E-02   8.2498474619014484E-01   3.5359781583647748E-02   1.2183220657644705E-05   2.8306864501035653E-11   1.0020228784732610E+00   1.1186829271280039E+00   9.7993442576561961E+01
     270  1.0119067944892991E-01   8.3213651247290148E+00   2.2037436381475241E+06   8.9555686190974138E-01   3.8058345308189864E+01   3.1293830375740517E-02   8.2240745409460936E-01   3.6568937493087289E-02   1.1420207261992788E-05   2.8859618554231409E-11   1.0059253380729603E+00   1.1232400541578820E+00   9.7959766178338683E+01
