    time    temp    dens
   9.57145088744815E-01   6.13589965206727E-02   9.05787808620384E-01
     nin     zin       y       x
 12   15     1.99863524815447E-09   5.39631517001707E-08
 13   15     1.39917339431787E-09   3.91768550409004E-08
 14   15     1.04655152319080E-07   3.03499941725331E-06
 15   15     1.31535756977531E-07   3.94607270932593E-06
 16   15     2.20428070288637E-07   6.83327017894774E-06
 17   15     1.61927610394108E-10   5.18168353261147E-09
 18   15     4.57886827687286E-10   1.51102653136805E-08
 19   15     7.27269384086445E-12   2.47271590589391E-10
 20   15     2.71778860987304E-13   9.51226013455566E-12
 21   15     1.95560823924388E-14   7.04018966127798E-13
 22   15     1.16649667188020E-16   4.31603768595674E-15
 23   15     3.29506984195119E-18   1.25212653994145E-16
 24   15     2.88169326845671E-19   1.12386037469812E-17
 25   15     2.09577879161021E-21   8.38311516644084E-20
 26   15     2.89053794629108E-22   1.18512055797934E-20
 27   15     5.85567846416880E-25   2.45938495495089E-23
 28   15     4.93144476431969E-29   2.12052124865747E-27
 29   15     2.74048649525662E-30   1.20581405791291E-28
 30   15     1.03577326208251E-34   4.66097967937128E-33
 31   15     1.40934841743097E-38   6.48300272018244E-37
 32   15     2.06097728762341E-42   9.68659325183001E-41
 33   15     2.84187343792630E-46   1.36409925020463E-44
 34   15     7.91285423621213E-51   3.87729857574395E-49
 35   15     1.16964037594345E-53   5.84820187971723E-52
 36   15     3.61190001150915E-58   1.84206900586966E-56
 37   15     2.83708122642361E-63   1.47528223774028E-61
 38   15     4.50288983304397E-61   2.38653161151330E-59
 39   15     3.78453568179628E-59   2.04364926816999E-57
 40   15     4.91253719007233E-67   2.70189545453978E-65
 41   15     1.37074821251720E-75   7.67618999009633E-74
 42   15     7.33111507468095E-79   4.17873559256814E-77
  8   16     7.09324406491151E-28   1.70237857557876E-26
  9   16     1.05754794729758E-24   2.64386986824396E-23
 10   16     1.43445323001006E-21   3.72957839802617E-20
 11   16     2.03789925493577E-17   5.50232798832658E-16
 12   16     6.09205150052803E-14   1.70577442014785E-12
 13   16     2.08001520122823E-10   6.03204408356188E-09
 14   16     2.77316530138261E-08   8.31949590414783E-07
 15   16     8.59571994305390E-08   2.66467318234671E-06
 16   16     3.52123765663518E-07   1.12679605012326E-05
 17   16     1.81810850399962E-07   5.99975806319876E-06
 18   16     2.77639218570860E-07   9.43973343140925E-06
 19   16     1.79513056801761E-10   6.28295698806164E-09
 20   16     4.66186537256058E-11   1.67827153412181E-09
 21   16     9.35077011649521E-13   3.45978494310323E-11
 22   16     8.25489060326847E-15   3.13685842924202E-13
 23   16     3.41320320573390E-16   1.33114925023622E-14
 24   16     8.23903216705050E-17   3.29561286682020E-15
 25   16     7.73335965632053E-18   3.17067745909142E-16
 26   16     1.01364793658309E-19   4.25732133364897E-18
 27   16     5.23339129026127E-22   2.25035825481235E-20
 28   16     1.82864102979929E-24   8.04602053111687E-23
 29   16     9.77616638514277E-27   4.39927487331425E-25
 30   16     3.70129014613745E-30   1.70259346722323E-28
 31   16     1.42749276365624E-34   6.70921598918432E-33
 32   16     1.77228471153754E-37   8.50696661538019E-36
 33   16     4.13049920238506E-42   2.02394460916868E-40
 34   16     1.02013858847827E-44   5.10069294239137E-43
 35   16     3.58074723114758E-49   1.82618108788526E-47
 36   16     3.89332922120753E-54   2.02453119502792E-52
 37   16     3.09497069651170E-57   1.64033446915120E-55
 38   16     2.72799240975347E-61   1.47311590126687E-59
 39   16     1.02199899535355E-57   5.62099447444454E-56
 40   16     4.64796820011416E-66   2.60286219206393E-64
 41   16     3.04283959063811E-69   1.73441856666372E-67
 42   16     6.91897678947556E-76   4.01300653789582E-74
 43   16     5.04391519704505E-81   2.97590996625658E-79
 44   16     4.32276567200769E-83   2.59365940320461E-81
  9   17     1.78422434147210E-30   4.63898328782745E-29
 10   17     2.03062642126983E-28   5.48269133742853E-27
 11   17     1.95092081693023E-25   5.46257828740464E-24
 12   17     6.50005402029588E-21   1.88501566588581E-19
 13   17     9.05350307092997E-20   2.71605092127899E-18
 14   17     3.39877873374389E-12   1.05362140746061E-10
 15   17     2.94395680213551E-09   9.42066176683363E-08
 16   17     5.12018992330489E-08   1.68966267469061E-06
 17   17     1.15381795120106E-07   3.92298103408361E-06
 18   17     3.69012789381092E-07   1.29154476283382E-05
 19   17     1.82233777906904E-09   6.56041600464854E-08
 20   17     3.53673294448027E-08   1.30859118945770E-06
 21   17     3.96762993209553E-11   1.50769937419630E-09
 22   17     2.22810638400575E-13   8.68961489762244E-12
 23   17     1.75264759477886E-14   7.01059037911542E-13
 24   17     2.54462197379422E-15   1.04329500925563E-13
 25   17     5.86901719653384E-16   2.46498722254421E-14
 26   17     6.29967250105770E-17   2.70885917545481E-15
 27   17     6.60658164248013E-18   2.90689592269126E-16
 28   17     2.95369223171934E-20   1.32916150427370E-18
 29   17     1.97668495875806E-23   9.09275081028708E-22
 30   17     1.28326134690099E-26   6.03132833043464E-25
 31   17     1.35670934043512E-29   6.51220483408858E-28
 32   17     2.43732680553889E-32   1.19429013471406E-30
 33   17     2.32481537865287E-36   1.16240768932643E-34
 34   17     9.22337207709801E-41   4.70391975931998E-39
 35   17     1.39154518142938E-45   7.23603494343275E-44
 36   17     1.13254890333870E-48   6.00250918769511E-47
 37   17     1.52751725515155E-52   8.24859317781840E-51
 38   17     8.97988951609318E-58   4.93893923385125E-56
 39   17     3.33586796287277E-57   1.86808605920875E-55
 40   17     2.86824154038475E-60   1.63489767801930E-58
 41   17     1.28424587531891E-66   7.44862607684968E-65
 42   17     2.65426007908749E-71   1.56601344666162E-69
 43   17     4.11699197780646E-73   2.47019518668388E-71
 44   17     9.67188251415832E-79   5.89984833363658E-77
 45   17     8.53762020578224E-83   5.29332452758499E-81
 46   17     6.13349425382171E-85   3.86410137990768E-83
  9   18     1.98865288449371E-37   5.36936278813303E-36
 10   18     5.29030851105915E-28   1.48128638309656E-26
 11   18     2.54758295167872E-25   7.38799055986830E-24
 12   18     2.92957925904152E-21   8.78873777712455E-20
 13   18     4.42402407197952E-19   1.37144746231365E-17
 14   18     1.48753883869156E-15   4.76012428381299E-14
 15   18     1.17208937050029E-10   3.86789492265096E-09
 16   18     4.03012930207952E-08   1.37024396270704E-06
 17   18     3.84456446294225E-08   1.34559756202979E-06
 18   18     1.92337470331435E-07   6.92414893193165E-06
 19   18     2.72719715620143E-07   1.00906294779453E-05
 20   18     2.27893820301022E-07   8.65996517143883E-06
 21   18     3.66513380944307E-10   1.42940218568280E-08
 22   18     1.74350116123331E-11   6.97400464493324E-10
 23   18     5.84732725914073E-13   2.39740417624770E-11
 24   18     7.59209547816967E-14   3.18868010083126E-12
 25   18     1.08120020054250E-14   4.64916086233274E-13
 26   18     4.16306365206055E-15   1.83174800690664E-13
 27   18     2.10490834215562E-16   9.47208753970030E-15
 28   18     4.51400281941904E-18   2.07644129693276E-16
 29   18     2.09586844420930E-20   9.85058168778373E-19
 30   18     2.53238432562091E-22   1.21554447629804E-20
 31   18     1.08856011344669E-25   5.33394455588880E-24
 32   18     1.07495556316014E-28   5.37477781580071E-27
 33   18     1.29172977367762E-32   6.58782184575588E-31
 34   18     6.56748275734121E-36   3.41509103381743E-34
 35   18     5.27366862471600E-40   2.79504437109948E-38
 36   18     8.71452216720332E-44   4.70584197028979E-42
 37   18     1.10636261941020E-48   6.08499440675611E-47
 38   18     5.62893862194110E-51   3.15220562828702E-49
 39   18     5.36224453064052E-51   3.05647938246509E-49
 40   18     1.77086259321843E-57   1.02710030406669E-55
 41   18     3.75847985749006E-62   2.21750311591914E-60
 42   18     7.73898098033947E-64   4.64338858820368E-62
 43   18     1.68387023578380E-69   1.02716084382812E-67
 44   18     2.48088369826105E-73   1.53814789292185E-71
 45   18     2.02457932317279E-75   1.27548497359886E-73
 46   18     9.74372491959000E-80   6.23598394853760E-78
 47   18     4.90082814587062E-83   3.18553829481590E-81
 48   18     8.86657926365474E-87   5.85194231401213E-85
 49   18     3.05247285196889E-89   2.04515681081916E-87
 10   19     4.93560906074183E-34   1.43132662761513E-32
 11   19     2.44859233949706E-33   7.34577701849117E-32
 12   19     7.08775642463786E-30   2.19720449163774E-28
 13   19     1.58227310219202E-26   5.06327392701446E-25
 14   19     3.84751008395697E-22   1.26967832770580E-20
 15   19     1.46545389421709E-19   4.98254324033811E-18
 16   19     2.58344638507031E-13   9.04206234774608E-12
 17   19     4.76144633182456E-10   1.71412067945684E-08
 18   19     4.67254730289906E-08   1.72884250207265E-06
 19   19     9.19904296397494E-08   3.49563632631048E-06
 20   19     5.14999418176066E-07   2.00849773088666E-05
 21   19     4.33316904029628E-09   1.73326761611851E-07
 22   19     5.29076844987148E-10   2.16921506444731E-08
 23   19     1.63423730312896E-11   6.86379667314163E-10
 24   19     3.87359368353953E-12   1.66564528392200E-10
