    time    temp    dens
   6.28432518990361E+02   1.00000000000000E-02   3.20024956109179E-09
     nin     zin       y       x
 37   16     1.19022222086505E-83   6.30817777058477E-82
 38   16     3.59955660346976E-92   1.94376056587367E-90
 39   16     1.35969160050992E-91   7.47830380280459E-90
 40   16     1.00000000000000E-99   1.00000000000000E-99
 41   16     1.00000000000000E-99   1.00000000000000E-99
 42   16     1.00000000000000E-99   1.00000000000000E-99
 43   16     1.00000000000000E-99   1.00000000000000E-99
 44   16     1.00000000000000E-99   1.00000000000000E-99
  9   17     4.20983801081174E-44   1.09455788281105E-42
 10   17     4.03330316602842E-42   1.08899185482767E-40
 11   17     1.57091143141262E-30   4.39855200795535E-29
 12   17     6.58987515029649E-29   1.91106379358598E-27
 13   17     6.05536845862547E-27   1.81661053758764E-25
 14   17     2.06443612087504E-22   6.39975197471262E-21
 15   17     1.38746374916080E-19   4.43988399731457E-18
 16   17     1.63374797609108E-17   5.39136832110058E-16
 17   17     5.28391510317841E-17   1.79653113508066E-15
 18   17     4.07981689302314E-07   1.42793591255810E-05
 19   17     6.89663469018745E-11   2.48278848846748E-09
 20   17     3.64836870959820E-08   1.34989642255133E-06
 21   17     3.54802025537048E-11   1.34824769704078E-09
 22   17     2.23608321404879E-13   8.72072453479029E-12
 23   17     9.03078702994603E-17   3.61231481197841E-15
 24   17     5.89060696587323E-20   2.41514885600802E-18
 25   17     1.23291449536651E-21   5.17824088053936E-20
 26   17     7.70531899764402E-23   3.31328716898693E-21
 27   17     1.60744645251626E-24   7.07276439107156E-23
 28   17     7.54024184341125E-27   3.39310882953506E-25
 29   17     6.57991956804540E-30   3.02676300130088E-28
 30   17     1.84536613745340E-33   8.67322084603096E-32
 31   17     1.35428897909055E-37   6.50058709963463E-36
 32   17     1.86478026783054E-43   9.13742331236963E-42
 33   17     4.94583422902282E-49   2.47291711451141E-47
 34   17     2.06305552507204E-56   1.05215831778674E-54
 35   17     3.65625226646437E-64   1.90125117856147E-62
 36   17     3.01268655026619E-69   1.59672387164108E-67
 37   17     1.36430668348414E-77   7.36725609081434E-76
 38   17     2.57649776253010E-85   1.41707376939155E-83
 39   17     2.77539571734481E-90   1.55422160171309E-88
 40   17     3.10684122891117E-94   1.77089950047937E-92
 41   17     1.00000000000000E-99   1.00000000000000E-99
 42   17     1.00000000000000E-99   1.00000000000000E-99
 43   17     1.00000000000000E-99   1.00000000000000E-99
 44   17     1.00000000000000E-99   1.00000000000000E-99
 45   17     1.00000000000000E-99   1.00000000000000E-99
 46   17     1.00000000000000E-99   1.00000000000000E-99
  9   18     5.93634766835578E-57   1.60281387045606E-55
 10   18     1.17682704451157E-43   3.29511572463239E-42
 11   18     1.15299946870378E-40   3.34369845924096E-39
 12   18     3.09860202662713E-37   9.29580607988140E-36
 13   18     1.13249117491190E-26   3.51072264222690E-25
 14   18     8.38721349620757E-24   2.68390831878642E-22
 15   18     2.16807316010977E-22   7.15464142836224E-21
 16   18     1.74503122639099E-20   5.93310616972937E-19
 17   18     5.17260919889974E-17   1.81041321961491E-15
 18   18     1.92863047790388E-07   6.94306972045396E-06
 19   18     3.11518750027934E-07   1.15261937510336E-05
 20   18     2.90566615559838E-07   1.10415313912738E-05
 21   18     3.99939197689630E-10   1.55976287098956E-08
 22   18     1.88058448962780E-11   7.52233795851120E-10
 23   18     5.80572757864751E-13   2.38034830724548E-11
 24   18     8.11906339747947E-14   3.41000662694138E-12
 25   18     3.19490423959690E-15   1.37380882302667E-13
 26   18     2.41426278660480E-15   1.06227562610611E-13
 27   18     9.21523375424601E-22   4.14685518941070E-20
 28   18     8.74569274293138E-24   4.02301866174843E-22
 29   18     6.63794026540714E-27   3.11983192474136E-25
 30   18     3.85591986245774E-30   1.85084153397971E-28
 31   18     1.93181026942149E-34   9.46587032016532E-33
 32   18     4.61967031874770E-39   2.30983515937385E-37
 33   18     2.34189709996974E-45   1.19436752098457E-43
 34   18     7.11700523964727E-50   3.70084272461658E-48
 35   18     9.50934033983474E-55   5.03995038011241E-53
 36   18     5.14120008044547E-63   2.77624804344055E-61
 37   18     2.10838515246496E-70   1.15961183385573E-68
 38   18     3.59774573081234E-75   2.01473760925491E-73
 39   18     3.84600948560474E-79   2.19222540679470E-77
 40   18     2.31108964859177E-91   1.34043199618322E-89
 41   18     4.65081772539710E-96   2.74398245798429E-94
 42   18     1.00000000000000E-99   1.00000000000000E-99
 43   18     1.00000000000000E-99   1.00000000000000E-99
 44   18     1.00000000000000E-99   1.00000000000000E-99
 45   18     1.00000000000000E-99   1.00000000000000E-99
 46   18     1.00000000000000E-99   1.00000000000000E-99
 47   18     1.00000000000000E-99   1.00000000000000E-99
 48   18     1.00000000000000E-99   1.00000000000000E-99
 49   18     1.00000000000000E-99   1.00000000000000E-99
 10   19     3.38169302924584E-55   9.80690978481292E-54
 11   19     1.03392087521215E-51   3.10176262563646E-50
 12   19     7.75010893315273E-43   2.40253376927735E-41
 13   19     1.41070995825711E-31   4.51427186642275E-30
 14   19     1.73187797392827E-29   5.71519731396329E-28
 15   19     2.38269230215151E-27   8.10115382731512E-26
 16   19     1.81428242550439E-22   6.34998848926537E-21
 17   19     3.01744070938824E-18   1.08627865537977E-16
 18   19     1.35883538079101E-17   5.02769090892673E-16
 19   19     3.54786181307567E-08   1.34818748896875E-06
 20   19     5.28335054286797E-07   2.06050671171851E-05
 21   19     4.45518789833515E-09   1.78207515933406E-07
 22   19     5.62038676467992E-10   2.30435857351877E-08
 23   19     1.73784724007715E-11   7.29895840832403E-10
 24   19     4.17322952143946E-12   1.79448869421897E-10
 25   19     7.30707017707455E-13   3.21511087791280E-11
 26   19     8.94791725805875E-14   4.02656276612644E-12
 27   19     2.18772971809217E-16   1.00635567032240E-14
 28   19     1.23283709224356E-21   5.79433433354473E-20
 29   19     1.31186860720856E-22   6.29696931460108E-21
 30   19     4.63601469787360E-25   2.27164720195806E-23
 31   19     3.41025753657132E-28   1.70512876828566E-26
 32   19     3.77779832319442E-33   1.92667714482916E-31
 33   19     3.14512121961043E-36   1.63546303419743E-34
 34   19     5.20692686650758E-44   2.75967123924901E-42
 35   19     2.72755623592859E-49   1.47288036740144E-47
 36   19     1.32950792333954E-56   7.31229357836749E-55
 37   19     2.95832049186456E-61   1.65665947544415E-59
 38   19     6.83410699201549E-65   3.89544098544883E-63
 39   19     5.64973400865392E-77   3.27684572501927E-75
 40   19     1.52623520399037E-81   9.00478770354320E-80
 41   19     1.14094275100117E-87   6.84565650600705E-86
 42   19     3.08149558403445E-91   1.87971230626102E-89
 43   19     3.42117068599634E-96   2.12112582531773E-94
 44   19     1.00000000000000E-99   1.94454151503556E-99
 45   19     1.00000000000000E-99   1.00000000000000E-99
 46   19     1.00000000000000E-99   1.00000000000000E-99
 47   19     1.00000000000000E-99   1.00000000000000E-99
 48   19     1.00000000000000E-99   1.00000000000000E-99
 49   19     1.00000000000000E-99   1.00000000000000E-99
 50   19     1.00000000000000E-99   1.00000000000000E-99
 51   19     1.00000000000000E-99   1.00000000000000E-99
 10   20     1.42070805954148E-66   4.26212417862443E-65
 11   20     4.98567557844122E-60   1.54555942931678E-58
 12   20     8.54649261281378E-45   2.73487763610041E-43
 13   20     1.49975085235300E-42   4.94917781276489E-41
 14   20     3.74842762065781E-29   1.27446539102365E-27
 15   20     9.40289283583456E-27   3.29101249254209E-25
 16   20     2.67902342084457E-23   9.64448431504046E-22
 17   20     9.60541661487841E-22   3.55400414750501E-20
 18   20     1.75161884972280E-19   6.65615162894665E-18
 19   20     3.94174032402505E-17   1.53727872636977E-15
 20   20     1.21334003594748E-06   4.85336014378993E-05
 21   20     6.55655958307206E-08   2.68818942905955E-06
 22   20     4.81746021160807E-08   2.02333328887539E-06
 23   20     5.32490845553214E-08   2.28971063587882E-06
 24   20     1.31290442757809E-08   5.77677948134358E-07
 25   20     4.43108087347822E-08   1.99398639306520E-06
 26   20     2.59684382228188E-09   1.19454815824967E-07
 27   20     4.06923504878389E-13   1.91254047292843E-11
 28   20     3.64384726855213E-12   1.74904668890502E-10
 29   20     5.01453057279956E-16   2.45711998067178E-14
 30   20     4.32469238456808E-22   2.16234619228404E-20
 31   20     1.55489682140785E-25   7.92997378918002E-24
 32   20     1.59106221012770E-28   8.27352349266402E-27
 33   20     2.93782699430544E-34   1.55704830698188E-32
 34   20     9.48105605890589E-41   5.11977027180918E-39
 35   20     2.16711593403726E-44   1.19191376372050E-42
 36   20     4.03402086778749E-47   2.25905168596099E-45
 37   20     9.62622011606943E-51   5.48694546615958E-49
 38   20     1.71196437366357E-62   9.92939336724870E-61
 39   20     3.78841781897527E-67   2.23516651319541E-65
 40   20     7.05312789646954E-73   4.23187673788172E-71
 41   20     1.95680687050706E-76   1.19365219100930E-74
 42   20     2.43160176986503E-81   1.50759309731632E-79
 43   20     1.54717540543436E-86   9.74720505423648E-85
 44   20     7.88118858491843E-95   5.04396069434780E-93
 45   20     1.00000000000000E-99   4.49874294048167E-98
 46   20     1.00000000000000E-99   1.00000000000000E-99
 47   20     1.00000000000000E-99   1.00000000000000E-99
 48   20     1.00000000000000E-99   1.00000000000000E-99
 49   20     1.00000000000000E-99   1.00000000000000E-99
 50   20     1.00000000000000E-99   1.00000000000000E-99
 51   20     1.00000000000000E-99   1.00000000000000E-99
 52   20     1.00000000000000E-99   1.00000000000000E-99
 53   20     1.00000000000000E-99   1.00000000000000E-99
 11   21     7.98445498495489E-60   2.55502559518557E-58
 12   21     1.53201480951362E-58   5.05564887139496E-57
