    time    temp    dens
   3.14950998278831E-01   2.05964652174810E-01   3.28817108681340E+01
     nin     zin       y       x
 13   15     8.35776114603692E-09   2.34017312089034E-07
 14   15     1.36543390827943E-07   3.95975833401033E-06
 15   15     1.38245274944103E-07   4.14735824832309E-06
 16   15     1.69507587488078E-07   5.25473521213041E-06
 17   15     1.11197212021103E-10   3.55831078467531E-09
 18   15     2.78711985713279E-11   9.19749552853821E-10
 19   15     4.33066045203968E-12   1.47242455369349E-10
 20   15     1.80753668435780E-13   6.32637839525231E-12
 21   15     1.36940447506440E-14   4.92985611023186E-13
 22   15     8.83283796542465E-17   3.26815004720712E-15
 23   15     4.04124682412111E-18   1.53567379316602E-16
 24   15     7.00980160557601E-19   2.73382262617464E-17
 25   15     1.55844222973001E-20   6.23376891892006E-19
 26   15     2.29906166079405E-23   9.42615280925560E-22
 27   15     1.04836304832289E-25   4.40312480295614E-24
 28   15     6.83351035740121E-28   2.93840945368252E-26
 29   15     7.39486203403971E-35   3.25373929497747E-33
 30   15     3.02990866238267E-32   1.36345889807220E-30
 31   15     1.24076615271609E-35   5.70752430249399E-34
 32   15     1.44337924447443E-38   6.78388244902983E-37
 33   15     1.14679652803470E-41   5.50462333456658E-40
 34   15     1.97041461816159E-49   9.65503162899181E-48
 35   15     1.48038107114770E-48   7.40190535573848E-47
 36   15     5.37418015269499E-52   2.74083187787444E-50
 37   15     4.10484721841016E-60   2.13452055357328E-58
 38   15     7.17674193941473E-56   3.80367322788981E-54
 39   15     6.01456809277196E-54   3.24786677009686E-52
 40   15     2.07025852871455E-60   1.13864219079300E-58
 41   15     1.21811126459601E-71   6.82142308173763E-70
 42   15     7.02769850626331E-74   4.00578814857008E-72
  8   16     1.74780843624729E-25   4.19474024699350E-24
  9   16     2.30934341612425E-22   5.77335854031062E-21
 10   16     1.79379188881571E-19   4.66385891092084E-18
 11   16     4.95674022716825E-15   1.33831986133543E-13
 12   16     4.80930006221787E-12   1.34660401742100E-10
 13   16     1.38024421861049E-08   4.00270823397042E-07
 14   16     5.29016677101991E-08   1.58705003130597E-06
 15   16     1.31934860480213E-07   4.08998067488661E-06
 16   16     3.37706277470696E-07   1.08066008790623E-05
 17   16     1.60047649591123E-07   5.28157243650706E-06
 18   16     1.87158913687969E-07   6.36340306539094E-06
 19   16     1.46429368630507E-10   5.12502790206774E-09
 20   16     2.69438684040300E-11   9.69979262545081E-10
 21   16     6.42664995504220E-13   2.37786048336562E-11
 22   16     5.75309739977166E-15   2.18617701191323E-13
 23   16     2.49643527574605E-16   9.73609757540960E-15
 24   16     5.83286815690311E-17   2.33314726276125E-15
 25   16     6.47136319279231E-18   2.65325890904485E-16
 26   16     6.47810726517310E-20   2.72080505137270E-18
 27   16     4.04007107110952E-22   1.73723056057709E-20
 28   16     2.42255800611391E-23   1.06592552269012E-21
 29   16     9.35052379027972E-26   4.20773570562587E-24
 30   16     1.27395162845689E-28   5.86017749090169E-27
 31   16     2.43153915394476E-32   1.14282340235404E-30
 32   16     2.38515588582571E-34   1.14487482519634E-32
 33   16     1.88656103156216E-42   9.24414905465458E-41
 34   16     4.33681706251442E-41   2.16840853125721E-39
 35   16     1.78062147156828E-44   9.08116950499823E-43
 36   16     1.76254214266477E-52   9.16521914185681E-51
 37   16     2.10347548798890E-52   1.11484200863412E-50
 38   16     8.12361058263516E-58   4.38674971462299E-56
 39   16     1.56403241910143E-52   8.60217830505786E-51
 40   16     1.49820180091631E-63   8.38993008513134E-62
 41   16     1.03329342709064E-65   5.88977253441665E-64
